pressure,density
1.5042249586815046, 0.038810220266467854
2.323610884797148, 0.05103504481694776
3.383846613437612, 0.06570830104357062
4.018249959263471, 0.07935207864712757
4.826462440932062, 0.10034587138515672
4.4093205149095525, 0.08828352536184314
5.426103959589369, 0.1177681570167265
5.947531367117477, 0.13170742898455667
6.2082450708815315, 0.14187115813972095
6.599315626527613, 0.15321347211396186
7.635652598989736, 0.2005785506252633
6.990386182173694, 0.1684878249231544
7.251099885937748, 0.1832517825192096
7.772527293465856, 0.21551527738008047
8.074210293535685, 0.23462061437543302
8.398240182499592, 0.24551694074074248
9.48701616128696, 0.29832793360906307
8.554668404758019, 0.25622837885389493
8.857748085383747, 0.27024994818947945
9.649665960567035, 0.31539707255303495
10.014665145836716, 0.32983768278039793
10.883042328373932, 0.39896167574790076
10.27537884960077, 0.3483484789176947
10.666449405246851, 0.3683482947276213
10.744663516376079, 0.38401954776478
12.198142414860683, 0.4670456302091609
11.448590516539014, 0.41977617143191626
11.60501873879744, 0.4334931573952767
12.662686832476652, 0.49872555955413644
11.839661072185095, 0.4488054397995651
12.348052794525017, 0.4833235794605121
12.986801368746939, 0.5169537668225992
13.263157894736821, 0.53437999982824
13.504504294792696, 0.5519065799409617
13.990549128238541, 0.5656811094660816
14.358155450545866, 0.5774267224088356
14.890011406224545, 0.589570748650158
15.218076150127644, 0.6014016951839859
15.750366628645907, 0.6160753609729938
16.163784073186065, 0.6279094067500869
16.744803184431674, 0.6454518317291149
17.236434740101032, 0.658943389124469
17.549291184617886, 0.6697582046507656
18.096789962522394, 0.6828650692452977
18.6442887404269, 0.6958419672901031
19.015805768290704, 0.7110044952547893
19.723643474010117, 0.7254918954107745
20.902721199283036, 0.7491947320170035
22.085709630112433, 0.7595569864715379
23.415349519309103, 0.7722322305734279
27.09141274238226, 0.813431527170748
28.34283852044973, 0.8255976996128845
29.516050187387975, 0.8399295693319687
30.963011243278487, 0.8529200765371906
32.85970343816197, 0.8616876624516898
34.54782467003423, 0.8711729229518235
36.26853511487698, 0.8795368020806473
39.25370702297539, 0.8945076407754048
37.75460322633211, 0.8859917601497207
26.09418282548475, 0.8012240136621576
24.76454293628808, 0.7859569561358687
0.8310249307479296, 0.026198464351988804
0.4986149584487407, 0.013097719387892282
20.11080332409972, 0.7379834198424012
9.14127423822714, 0.283814175833042
